,imdbid,Title,Decade,Genre,Director,year,bechdel_rating,male_percen,nonmale_percentage,dialogue_score,bechdel_score,count,inappropriate_count,descriptions_score,_merge,gaze_score
14,44672,The Greatest Show on Earth,50s,Musical,Cecile B.DeMille,1952,2.0,,,,13.33,18.0,0.0,0.0,both,13.33
15,50212,The Bridge on the River Kwai,50s,War,David Lean,1957,1.0,,,,26.66,0.0,0.0,0.0,both,26.66
16,47673,White Christmas,50s,Musical,Michael Kurtiz,1954,3.0,73.04,26.96,25.0,0.0,22.0,0.0,0.0,both,25.0
17,43949,Quo Vadis?,50s,Historical,"Mervyn LeRoy, Anthony Mann",1951,3.0,83.08,16.92,25.0,0.0,26.0,0.0,0.0,both,25.0
18,51459,Cat on a Hot Tin Roof,50s,Drama,Richard Brooks,1958,3.0,,,,0.0,,,,left_only,0.0
19,53291,Some like it hot,50s,Comedy,Billy Wilder,1959,3.0,53.54,46.46,4.425,0.0,47.0,1.0,6.696048403769496,both,11.121048403769496
20,48593,The Sea Chase,50s,War,John Farrow,1955,,,,,,5.0,0.0,0.0,both,0.0
21,42192,All About Eve,50s,Drama,Joseph L. Mankiewicz,1950,3.0,,,,0.0,,,,left_only,0.0
22,59742,The Sound of Music,60s,Musical,Robert Wise,1965,3.0,25.29,74.71,0.0,0.0,17.0,0.0,0.0,both,0.0
23,61722,The Graduate,60s,Romance,Michael Nichols,1967,2.0,69.42,30.58,24.275,13.33,69.0,1.0,10.32040541753288,both,47.92540541753288
24,64115,Butch Cassidy and the Sundance Kid,60s,Action,George Roy Hill,1969,1.0,86.05,13.95,25.0,26.66,29.0,0.0,0.0,both,51.66
25,58331,Mary Poppins,60s,Fantasy,Robert Stevenson,1964,3.0,53.54,46.46,4.425,0.0,5.0,0.0,0.0,both,4.425
26,56937,Cleopatra,60s,Historical,Joseph L. Mankiewicz,1963,3.0,,,,0.0,7.0,1.0,3.2082130082460703,both,3.2082130082460703
27,62622,2001: A Space Odyssey,60s,SCI-FI,Stanley Kubrick,1968,0.0,96.72,3.28,25.0,40.0,2.0,0.0,0.0,both,65.0
28,55614,West Side Story,60s,Musical,"Jerome Robbins, Robert Wise",1961,3.0,67.31,32.69,21.6375,0.0,73.0,0.0,7.77116641178924,both,29.40866641178924
29,54215,Psycho,60s,Thriller,Alfred Hitchcock,1960,3.0,66.59,33.41,20.7375,0.0,86.0,3.0,15.534596928780129,both,36.27209692878013
30,56172,Lawrence of Arabia,60s,Action,David Lean,1962,0.0,99.36,0.64,25.0,40.0,3.0,0.0,0.0,both,65.0
31,60164,The Bible,60s,Historical,John Huston,1966,,62.03,37.97,15.0375,,3.0,0.0,0.0,both,15.0375
32,73195,JAWS,70s,Horror,Steven Spielberg,1975,3.0,90.84,9.16,25.0,0.0,,,,left_only,25.0
33,76759,Star Wars: Episode IV - A New Hope,70s,SCI-FI,George Lucas,1977,1.0,88.03,11.97,25.0,26.66,17.0,0.0,0.0,both,51.66
34,70047,The Exorcist,70s,Horror,William Friedkin,1973,3.0,83.91,16.09,25.0,0.0,83.0,2.0,13.79683640918734,both,38.79683640918734
35,77631,Grease,70s,Musical,Randal Kleiser,1978,3.0,78.02,21.98,25.0,0.0,19.0,0.0,0.0,both,25.0
36,77631,Grease,70s,Musical,Randal Kleiser,1978,3.0,78.02,21.98,25.0,0.0,12.0,0.0,0.0,both,25.0
37,68646,The Godfather,70s,Crime,Francis Ford Coppola,1972,2.0,86.44,13.56,25.0,13.33,45.0,3.0,8.78011340313019,both,47.110113403130185
38,71230,Blazing Saddles,70s,Western,Mel Brooks,1974,1.0,87.21,12.79,25.0,26.66,9.0,3.0,5.621765008857981,both,57.281765008857974
39,75148,Rocky,70s,Action,John G. Avildsen,1976,1.0,98.54,1.46,25.0,26.66,17.0,0.0,0.0,both,51.66
40,66011,Love Story,70s,Romance,Arthur Hiller,1970,1.0,,,,26.66,1.0,0.0,0.0,both,26.66
41,78346,Superman,70s,Action,Mario Puzo,1978,1.0,69.52,30.48,24.4,26.66,37.0,1.0,5.048613397513414,both,56.108613397513416
42,67093,Fiddler on the Roof,70s,Musical,Norman Jewison,1971,,46.9,53.1,0.0,,7.0,0.0,0.0,both,0.0
43,80684,Star Wars: Episode V - The Empire Strikes Back,80s,SCI-FI,George Lucas,1980,0.0,86.21,13.79,25.0,40.0,24.0,0.0,0.0,both,65.0
44,83866,E.T. the Extra-Terrestrial,80s,SCI-FI,Steven Spielberg,1982,3.0,,,,0.0,19.0,0.0,0.0,both,0.0
45,96895,Batman,80s,Action,Tim Burton,1989,1.0,74.99,25.01,25.0,26.66,60.0,0.0,5.629500903656333,both,57.28950090365633
46,86190,Star Wars: Episode VI - Return of the Jedi,80s,SCI-FI,George Lucas,1983,1.0,86.94,13.06,25.0,26.66,19.0,0.0,0.0,both,51.66
47,87332,Ghostbusters,80s,Fantasy,Ivan Reitman,1984,2.0,86.68,13.32,25.0,13.33,10.0,0.0,0.0,both,38.33
48,1289401,Ghostbusters,80s,Fantasy,Ivan Reitman,2016,3.0,86.68,13.32,25.0,0.0,10.0,0.0,0.0,both,25.0
49,88763,Back to the Future,80s,SCI-FI,Robert Zemeckis,1985,2.0,83.52,16.48,25.0,13.33,10.0,0.0,0.0,both,38.33
50,92099,Top Gun,80s,Action,Tony Scott,1986,2.0,94.1,5.9,25.0,13.33,30.0,1.0,3.2082130082460703,both,41.53821300824607
51,92644,Beverly Hills Cop II,80s,Action,Tony Scott,1987,1.0,90.93,9.07,25.0,26.66,11.0,1.0,3.2082130082460703,both,54.868213008246066
52,96438,Who Framed Roger Rabbit,80s,Animation,Robert Zemeckis,1988,1.0,91.12,8.88,25.0,26.66,20.0,0.0,0.0,both,51.66
53,81573,Superman II,80s,Action,Richard Lester,1980,3.0,75.89,24.11,25.0,0.0,45.0,2.0,7.536583385414229,both,32.53658338541423
54,120338,Titanic,90s,Drama,James Cameron,1997,3.0,63.33,36.67,16.6625,0.0,214.0,8.0,35.0,both,51.6625
55,120915,Star Wars: Episode I - The Phantom Menace,90s,SCI-FI,George Lucas,1999,3.0,79.7,20.3,25.0,0.0,8.0,0.0,0.0,both,25.0
56,107290,Jurassic Park,90s,SCI-FI,Steven Spielberg,1993,3.0,85.14,14.86,25.0,0.0,43.0,0.0,2.8288613930209925,both,27.828861393020993
57,116629,Independence Day,90s,SCI-FI,Roland Emmerich,1996,3.0,85.05,14.95,25.0,0.0,27.0,0.0,0.0,both,25.0
58,109830,Forrest Gump,90s,Drama,Robert Zemeckis,1994,1.0,86.68,13.32,25.0,26.66,20.0,6.0,8.519528019683106,both,60.179528019683104
59,119654,Men in Black,90s,SCI-FI,Barry Sonnenfeld,1997,1.0,89.07,10.93,25.0,26.66,28.0,0.0,0.0,both,51.66
60,99653,Ghost,90s,Romance,Jerry Zucker,1990,3.0,54.87,45.13,6.0875,0.0,138.0,5.0,26.252492564200686,both,32.339992564200685
61,103064,Terminator 2: Judgment Day,90s,Action,James Cameron,1991,3.0,74.32,25.68,25.0,0.0,132.0,0.0,17.491032948700127,both,42.49103294870012
62,103776,Batman Returns,90s,Action,Tim Burton,1992,0.0,61.76,38.24,14.7,40.0,48.0,1.0,6.860791904395104,both,61.5607919043951
63,112462,Batman Forever,90s,Action,Joel Schumacher,1995,1.0,96.84,3.16,25.0,26.66,1.0,0.0,0.0,both,51.66
64,468569,The Dark Knight,2000s,Action,Christopher Nolan,2008,3.0,73.72,26.28,25.0,0.0,30.0,0.0,0.0,both,25.0
65,383574,Pirates of the Caribbean: Dead Mans Chest,2000s,Action,Gore Verbinski,2006,2.0,83.66,16.34,25.0,13.33,23.0,1.0,3.2082130082460703,both,41.53821300824607
66,145487,Spiderman,2000s,Action,Sam Raimi,2002,1.0,86.44,13.56,25.0,26.66,57.0,2.0,9.513505392921529,both,61.17350539292153
67,417741,Harry Potter and the Half Blood Prince ,2000s,Fantasy,David Yates,2009,3.0,79.64,20.36,25.0,0.0,70.0,1.0,10.485148918158488,both,35.48514891815849
68,121766,Star Wars: Episode III - Revenge of the Sith,2000s,SCI-FI,George Lucas,2005,1.0,89.32,10.68,25.0,26.66,15.0,1.0,3.2082130082460703,both,54.868213008246066
69,316654,Spider-Man 2,2000s,Action,Sam Raimi,2004,1.0,84.22,15.78,25.0,26.66,41.0,0.0,2.499374391769776,both,54.159374391769774
70,418279,Transformers,2000s,Action,Michael Bay,2007,3.0,,,,0.0,3.0,0.0,0.0,both,0.0
71,325980,Pirates of the Caribbean: The Curse of the Black Pearl,2000s,Action,Gore Verbinski,2003,3.0,87.36,12.64,25.0,0.0,60.0,0.0,5.629500903656333,both,30.629500903656332
72,241527,Harry Potter and the Sorcerers Stone,2000s,Fantasy,Chris Columbus,2001,3.0,80.11,19.89,25.0,0.0,17.0,0.0,0.0,both,25.0
73,120755,Mission Impossible II,2000s,Action,John Woo,2000,0.0,97.43,2.57,25.0,40.0,40.0,2.0,6.712865882286187,both,71.71286588228618
74,4154796,Avengers: Endgame,2010s,Action,"Anthony Russo, Joe Russo",2019,3.0,78.09,21.91,25.0,0.0,44.0,0.0,2.9936048936466007,both,27.9936048936466
75,1825683,Black Panther,2010s,Action,Ryan Coogler,2018,3.0,77.91,22.09,25.0,0.0,51.0,1.0,7.355022406271929,both,32.35502240627193
76,2488496,Star Wars: The Force Awakens,2010s,SCI-FI,George Lucas,2015,3.0,78.99,21.01,25.0,0.0,64.0,0.0,6.288474906158767,both,31.28847490615877
77,848228,The Avengers,2010s,Action,Joss Whedon,2012,1.0,83.58,16.42,25.0,26.66,25.0,1.0,3.2082130082460703,both,54.868213008246066
78,2527336,Star Wars: Episode VIII - The Last Jedi,2010s,SCI-FI,George Lucas,2017,3.0,62.84,37.16,16.05,0.0,1.0,0.0,0.0,both,16.05
79,499549,Avatar,2010s,SCI-FI,James Cameron,2009,3.0,68.06,31.94,22.575,0.0,91.0,0.0,10.736549423050189,both,33.31154942305019
80,770828,Man of Steel,2010s,Action,Zack Snyder,2013,3.0,76.76,23.24,25.0,0.0,70.0,1.0,10.485148918158488,both,35.48514891815849
81,3748528,Rogue One: A Star Wars Story,2010s,SCI-FI,Gareth Edwards,2016,3.0,80.73,19.27,25.0,0.0,,,,left_only,25.0
82,1201607,Harry Potter and the Deathly Hallows: Part 2,2010s,Fantasy,David Yates,2011,3.0,78.1,21.9,25.0,0.0,54.0,2.0,9.019274891044702,both,34.0192748910447
83,1877832,X-Men: Days of Future Past,2010s,Action,Bryan Singer,2014,1.0,76.21,23.79,25.0,26.66,47.0,1.0,6.696048403769496,both,58.35604840376949
